urn:ogc:def:parameter:x-istsos:1.0:time:iso8601,urn:ogc:def:procedure,urn:ogc:def:parameter:x-istsos:1.0:river:water:height,urn:ogc:def:parameter:x-istsos:1.0:river:water:height:qualityIndex
2019-02-23T15:02:22+05:30,MASPOTHA_WL,0.16,100
2019-02-23T15:12:22+05:30,MASPOTHA_WL,0.17,100
2019-02-23T15:22:23+05:30,MASPOTHA_WL,0.18,100
2019-02-23T15:32:23+05:30,MASPOTHA_WL,0.19,100
2019-02-23T15:42:25+05:30,MASPOTHA_WL,0.18,100
2019-02-23T15:52:25+05:30,MASPOTHA_WL,0.18,100
2019-02-23T16:02:25+05:30,MASPOTHA_WL,0.18,100
2019-02-23T16:12:26+05:30,MASPOTHA_WL,0.19,100
2019-02-23T16:22:26+05:30,MASPOTHA_WL,0.2,100
2019-02-23T16:32:26+05:30,MASPOTHA_WL,0.2,100
2019-02-23T16:42:27+05:30,MASPOTHA_WL,0.24,100
2019-02-23T16:52:27+05:30,MASPOTHA_WL,0.25,100
2019-02-23T17:02:28+05:30,MASPOTHA_WL,0.27,100
2019-02-23T17:12:28+05:30,MASPOTHA_WL,0.27,100
2019-02-23T17:22:28+05:30,MASPOTHA_WL,0.26,100
2019-02-23T17:32:28+05:30,MASPOTHA_WL,0.25,100
2019-02-23T17:42:29+05:30,MASPOTHA_WL,0.26,100
2019-02-23T17:52:29+05:30,MASPOTHA_WL,0.27,100
2019-02-23T18:02:30+05:30,MASPOTHA_WL,0.28,100
2019-02-23T18:12:30+05:30,MASPOTHA_WL,0.28,100
2019-02-23T18:22:31+05:30,MASPOTHA_WL,0.28,100
2019-02-23T18:32:31+05:30,MASPOTHA_WL,0.28,100
2019-02-23T18:42:31+05:30,MASPOTHA_WL,0.29,100
2019-02-23T18:52:31+05:30,MASPOTHA_WL,0.29,100
2019-02-23T19:02:32+05:30,MASPOTHA_WL,0.29,100
2019-02-23T19:22:34+05:30,MASPOTHA_WL,0.29,100
2019-02-23T19:32:34+05:30,MASPOTHA_WL,0.29,100
